"NH max with SFR","[[0., 0.], [0.25, 0.2777868024023178], [0.5, 1.0976736299284402], [0.75, 2.3405532741266923], [1., 3.848176902028301], [1.25, 5.475804081452245], [1.5, 7.109866525035026], [1.75, 8.668061110480778], [2., 10.09588171628121], [2.25, 11.361123882721373], [2.5, 12.44844447379093], [2.75, 13.354628682146725], [3., 14.083015354464973], [3.25, 14.647632008817492], [3.5, 15.060158227418333], [3.75, 15.335667373482494], [4., 15.489672657537403], [4.25, 15.53738873454237], [4.5, 15.493263201290969], [4.75, 15.3707025460116], [5., 15.178745438876852], [5.25, 14.935087413165721], [5.5, 14.646011670349878], [5.75, 14.320167221483903], [6., 13.965133907105121], [6.25, 13.587512134444706], [6.5, 13.19301637513667], [6.75, 12.786567501989007], [7., 12.372380905187892], [7.25, 11.954048626698103], [7.5, 11.53461463930795], [7.75, 11.116642988748234], [8., 10.702278899087794], [8.25, 10.293303176005823], [8.5, 9.891180375253173], [8.75, 9.497101267521796], [9., 9.112020149452567], [9.25, 8.73668754010113], [9.5, 8.371678774290709], [9.75, 8.017418966729954], [10., 7.6742047788032925], [10.25, 7.342223376968996], [10.5, 7.021568929874023], [10.75, 6.71225695188632], [11., 6.414236764433901], [11.25, 6.12740231361072], [11.5, 5.851601552994762], [11.75, 5.586644574398544], [12., 5.332310646122365], [12.25, 5.088354297944775], [12.5, 4.854510574285975], [12.75, 4.630499561442385], [13., 4.416078700967282], [13.25, 4.210849247532424], [13.5, 4.014559422923816], [13.75, 3.8269032271914245], [14., 3.641591703080311], [14.25, 3.476267668898939], [14.5, 3.312681219267972], [14.75, 3.156516918960221], [15., 3.007481832079049], [15.25, 2.86528894774112], [15.5, 2.7296578486294285], [15.75, 2.6003152404987637], [16., 2.4769953612793354], [16.25, 2.3594402861451056], [16.5, 2.2474001429139014], [16.75, 2.1406332503904535], [17., 2.0389061907202204], [17.25, 1.9419938254641842], [17.5, 1.8496792639096196], [17.75, 1.761753791078948], [18., 1.6780167619707267], [18.25, 1.5835328811883125], [18.5, 1.5081734759689192], [18.75, 1.4500479695215487], [19., 1.3812145271284004], [19.25, 1.3156819502787283], [19.5, 1.2532945378828957], [19.75, 1.1939033720657228], [20., 1.137366096917768], [20.25, 1.0835466949402057], [20.5, 1.0323152627522185], [20.75, 0.9836964199749837], [21., 0.9372654725139732], [21.25, 0.8930676724394382], [21.5, 0.8509953524987794], [21.75, 0.8109458649543001], [22., 0.7728213749362803], [22.25, 0.7365286588463408], [22.5, 0.7019789081499032], [22.75, 0.6685578116443089], [23., 0.6372883610572168], [23.25, 0.6075166768703619], [23.5, 0.5791699926564063], [23.75, 0.5521790519825324], [24., 0.5264779479646746], [24.25, 0.5020039689249363], [24.5, 0.4786974500745112], [24.75, 0.45650163112296377], [25., 0.43536251969703343], [25.25, 0.41522876043778345], [25.5, 0.39605150963346186], [25.75, 0.3777843152365048], [26., 0.360383002106389], [26.25, 0.3438055623151789], [26.5, 0.3280120503494215], [26.75, 0.3129644830402295], [27., 0.2986267440527974], [27.25, 0.2849644927670206], [27.5, 0.2719450773821718], [27.75, 0.2595374520806173], [28., 0.24771209808817227], [28.25, 0.2364409484718261], [28.5, 0.22569731651910102], [28.75, 0.21545582754716586], [29., 0.2056923539939467], [29.25, 0.196383953647781], [29.5, 0.18750881087661708], [29.75, 0.17904618072230502], [30., 0.17097633573012697], [30.25, 0.1632805153883383], [30.5, 0.15605952085902633], [30.75, 0.14905275008886792], [31., 0.1423693476640983], [31.25, 0.1359939540408234], [31.5, 0.12991195877895334], [31.75, 0.12329111054872337], [32., 0.11780694963691744], [32.25, 0.11257336588990934], [32.5, 0.10757856216392205], [32.75, 0.10281131405177607], [33., 0.09826094130962312], [33.25, 0.09391728073321391], [33.5, 0.08977066041058723], [33.75, 0.08581187528156106], [34., 0.082032163937764], [34.25, 0.07842318660016526], [34.5, 0.07497700421414431], [34.75, 0.07168605860509566], [35., 0.06854315364038616], [35.25, 0.06554143734618198], [35.5, 0.06267438493023914], [35.75, 0.059935782664209354], [36., 0.05731971258135956], [36.25, 0.05482053794783773], [36.5, 0.05243288946774737], [36.75, 0.05015165218432057], [37., 0.0479719530414083], [37.25, 0.04588914907134291], [37.5, 0.043898816176972805], [37.75, 0.04199673847732842], [38., 0.04017889818795479], [38.25, 0.03844146600844476], [38.5, 0.036780791991127174], [38.75, 0.035193396866216725], [39., 0.03367596380001207], [39.25, 0.032225330563945886], [39.5, 0.030838482093444086], [39.75, 0.02951254341664602], [40., 0.02824477293407524]]"
"NH min with SFR","[[0., 0.], [0.25, 0.027338596581404594], [0.5, 0.13110454324580775], [0.75, 0.3078058440651824], [1., 0.5338704155796717], [1.25, 0.7838665380773872], [1.5, 1.0359081962031373], [1.75, 1.2738870721098363], [2., 1.4872827293325892], [2.25, 1.6702697056781273], [2.5, 1.8205635598397913], [2.75, 1.9383568256362749], [3., 2.0254429509831517], [3.25, 2.084547939787902], [3.5, 2.1180694046683333], [3.75, 2.130952560279139], [4., 2.1255472708526897], [4.25, 2.1048530454917467], [4.5, 2.0715923843541595], [4.75, 2.0281849283117324], [5., 1.9767471338069467], [5.25, 1.919107245655451], [5.5, 1.8568285658654697], [5.75, 1.7912363935432503], [6., 1.7234457076389897], [6.25, 1.6543878404444132], [6.5, 1.58483518146455], [6.75, 1.515423467217274], [7., 1.4466715357235784], [7.25, 1.3789986163683305], [7.5, 1.312739330655486], [7.75, 1.2481566282327659], [8., 1.185452896769621], [8.25, 1.1247794781683764], [8.5, 1.066244806544483], [8.75, 1.0099213613738516], [9., 0.9558516057991241], [9.25, 0.9040530574021465], [9.5, 0.8545226178850235], [9.75, 0.8072402695351555], [10., 0.7621722301867787], [10.25, 0.7192736445295477], [10.5, 0.6784908778439781], [10.75, 0.6397634683120226], [11., 0.6030257857013042], [11.25, 0.5682084372116605], [11.5, 0.5352394553858552], [11.75, 0.5040452980345672], [12., 0.47455168594937225], [12.25, 0.44668430064293385], [12.5, 0.4203693613526697], [12.75, 0.3955340979821511], [13., 0.3721071344594459], [13.25, 0.3500187951031847], [13.5, 0.3292013449561952], [13.75, 0.30625873709873197], [14., 0.2911189309980848], [14.25, 0.27372962192162564], [14.5, 0.25737916839091485], [14.75, 0.24197722248213996], [15., 0.22748789153130242], [15.25, 0.2138599305197851], [15.5, 0.2010445035020542], [15.75, 0.18899513995137776], [16., 0.17766768025699986], [16.25, 0.16702021267497366], [16.5, 0.1570130037066503], [16.75, 0.14760842359123913], [17., 0.13877086834719388], [17.25, 0.13046667957722766], [17.5, 0.12266406305984771], [17.75, 0.11533300698314929], [18., 0.10844520053132202], [18.25, 0.10197395340832381], [18.5, 0.09589411677418715], [18.75, 0.09018200597539901], [19., 0.08481532536994538], [19.25, 0.07977309547831898], [19.5, 0.07503558263264028], [19.75, 0.07058423124576593], [20., 0.06640159877974267], [20.25, 0.062471293457210225], [20.5, 0.05877791472949126], [20.75, 0.05530699649035043], [21., 0.05204495300407911], [21.25, 0.04897902750005681], [21.5, 0.04609724337273313], [21.75, 0.043425992324962394], [22., 0.04087686010060459], [22.25, 0.03848031645347488], [22.5, 0.03622706261669927], [22.75, 0.0341083718746483], [23., 0.03211605479381317], [23.25, 0.030019697410571606], [23.5, 0.028276448069317898], [23.75, 0.02663640095010392], [24., 0.025093315428027625], [24.25, 0.023641335781542244], [24.5, 0.02227496719018939], [24.75, 0.020989053209932978], [25., 0.019778754641546745], [25.25, 0.018639529711195705], [25.5, 0.017567115486069287], [25.75, 0.016557510451632323], [26., 0.015606958180727598], [26.25, 0.014711932028363569], [26.5, 0.013869120789534844], [26.75, 0.013075415260833013], [27., 0.012327895649902443], [27.25, 0.011623819779968554], [27.5, 0.010960612039710667], [27.75, 0.010335853031664295], [28., 0.009747269875115868], [28.25, 0.00919272712209833], [28.5, 0.008670218247607537], [28.75, 0.008177857677541707], [29., 0.007713873320120355], [29.25, 0.007276599568669708], [29.5, 0.0068644707456729905], [29.75, 0.006476014959879388], [30., 0.00610984835005122], [30.25, 0.005764669690608194], [30.5, 0.005439255336006592], [30.75, 0.005132454482174176], [31., 0.004843184724713269], [31.25, 0.004570427894890122], [31.5, 0.004313226155652634], [31.75, 0.004070678341065179], [32., 0.003841936523623526], [32.25, 0.003626202794918335], [32.5, 0.003422726246056966], [32.75, 0.003230800135133805], [33., 0.003049759229863031], [33.25, 0.0028789773142579595], [33.5, 0.002717864848961282], [33.75, 0.002565866775503736], [34., 0.0024224604553980253], [34.25, 0.0022871537355629184], [34.5, 0.0021594831321220384], [34.75, 0.0020390121251354395], [35., 0.0019253295573019825], [35.25, 0.001818048130118854], [35.5, 0.0017168029914036308], [35.75, 0.0016212504084757088], [36., 0.0015310665216597475], [36.25, 0.0014459461731155796], [36.5, 0.001365601806318461], [36.75, 0.0012897624318119888], [37., 0.001218172655135033], [37.25, 0.0011505917630847233], [37.5, 0.0010867928647212456], [37.75, 0.0010265620837480265], [38., 0.0009696977991138655], [38.25, 0.0009160099308827028], [38.5, 0.0008653192686029236], [38.75, 0.0008174568395822139], [39., 0.0007722633146368696], [39.25, 0.0007295884490367885], [39.5, 0.0006892905565098823], [39.75, 0.0006512360143030005], [40., 0.0006152987974212163]]"
"fiducial case","[[0., 0.], [0.25, 0.13065587623888678], [0.5, 0.4578637688373941], [0.75, 0.9255830748863898], [1., 1.473501752951212], [1.25, 2.0480195776204875], [1.5, 2.60772285700208], [1.75, 3.123774954923733], [2., 3.5785375332459566], [2.25, 3.9632533599553224], [2.5, 4.275634370250243], [2.75, 4.517781946412638], [3., 4.694538692799748], [3.25, 4.811497508713607], [3.5, 4.876156671448356], [3.75, 4.897075663609658], [4., 4.879820779770396], [4.25, 4.83065881194319], [4.5, 4.755247151976035], [4.75, 4.6585999529275925], [5., 4.545098882887377], [5.25, 4.418530152355565], [5.5, 4.282135354834558], [5.75, 4.138667938608967], [6., 3.9904501622478374], [6.25, 3.8394274806396185], [6.5, 3.6872187137119994], [6.75, 3.5351612637372383], [7., 3.384351218479074], [7.25, 3.2356785159500734], [7.5, 3.0898575307097254], [7.75, 2.9474535264573545], [8., 2.8089054429098788], [8.25, 2.6745454719460513], [8.5, 2.544615845353931], [8.75, 2.4192832148105534], [9., 2.298650960438508], [9.25, 2.182769721197339], [9.5, 2.071646400494929], [9.75, 1.965251864655896], [10., 1.8635275205010329], [10.25, 1.7663909311308374], [10.5, 1.6737406057237363], [10.75, 1.5854600793258298], [11., 1.5014213817757143], [11.25, 1.4214879806467793], [11.5, 1.3455172710110341], [11.75, 1.2733626745904985], [12., 1.2048754021695864], [12.25, 1.1399059257447346], [12.5, 1.0783052005758895], [12.75, 1.0199256719035472], [13., 0.964622096459725], [13.25, 0.9122522049113797], [13.5, 0.8578255406469625], [13.75, 0.8157623056086489], [14., 0.7714024083905223], [14.25, 0.7294426834650212], [14.5, 0.6897390330202667], [14.75, 0.6522002557757668], [15., 0.6167141725954278], [15.25, 0.5831733373769765], [15.5, 0.5514750020095487], [15.75, 0.5215210525861075], [16., 0.4932179223039638], [16.25, 0.46647648572691225], [16.5, 0.44121193841852846], [16.75, 0.4173436653763184], [17., 0.3947951011903535], [17.25, 0.37349358440887515], [17.5, 0.3533702082091793], [17.75, 0.3325039905025251], [18., 0.314620062831106], [18.25, 0.29772679932172713], [18.5, 0.28176872239616496], [18.75, 0.26669337396480086], [19., 0.2539471284449983], [19.25, 0.24042508664665524], [19.5, 0.22764711644019447], [19.75, 0.2155714490670836], [20., 0.20415864513116203], [20.25, 0.1933714731235], [20.5, 0.18317479283495958], [20.75, 0.17353544368300247], [21., 0.16448223557271247], [21.25, 0.1558611772031078], [21.5, 0.14770904541347038], [21.75, 0.13999957243926314], [22., 0.1327079828061729], [22.25, 0.12581091002348674], [22.5, 0.11894282183055566], [22.75, 0.11280059217701897], [23., 0.10698792149089176], [23.25, 0.10148651625292268], [23.5, 0.09627912493243446], [23.75, 0.09134947807427923], [24., 0.08668223173957154], [24.25, 0.0822629141344543], [24.5, 0.07807787526564851], [24.75, 0.0741532750134429], [25., 0.07039737404849164], [25.25, 0.06683929873969516], [25.5, 0.06346824093132487], [25.75, 0.06027400221157299], [26., 0.057246958686717885], [26.25, 0.05437802780478049], [26.5, 0.05165863711301775], [26.75, 0.04908069483930304], [27., 0.04663656219300213], [27.25, 0.04403653500947571], [27.5, 0.04185493373271746], [27.75, 0.0397858461582883], [28., 0.03782323716360744], [28.25, 0.03596140748656826], [28.5, 0.03419497442174425], [28.75, 0.03251885365277403], [29., 0.030928242153581836], [29.25, 0.029418602094966634], [29.5, 0.027985645696770506], [29.75, 0.02662532096932671], [30., 0.025333798291189414], [30.25, 0.024107457773273746], [30.5, 0.0229428773624874], [30.75, 0.021836821640724972], [31., 0.020786231277727923], [31.25, 0.019788213098795776], [31.5, 0.018840030730672665], [31.75, 0.01793909579113797], [32., 0.01708295958990319], [32.25, 0.016269305310370578], [32.5, 0.01549594064364533], [32.75, 0.014760790847920464], [33., 0.014061892207977813], [33.25, 0.013397385871074256], [33.5, 0.01276551203691768], [33.75, 0.012164604480783743], [34., 0.011593085390091237], [34.25, 0.011049460495942286], [34.5, 0.010532314482250742], [34.75, 0.010040306656130163], [35., 0.009572166864197863], [35.25, 0.009126691640375406], [35.5, 0.008702740571634312], [35.75, 0.008299232868950164], [36., 0.007915144131493523], [36.25, 0.00754950329280412], [36.5, 0.007201389738369092], [36.75, 0.006869930584658967], [37., 0.00655429811026949], [37.25, 0.006253707330375285], [37.5, 0.005967413706225389], [37.75, 0.0056947109819025015], [38., 0.005434929141029893], [38.25, 0.005187432476543626], [38.5, 0.004951617767055273], [38.75, 0.004726912553712909], [39., 0.004512773511827591], [39.25, 0.0043086849118702825], [39.5, 0.0041141571647611876], [39.75, 0.003928725446671694], [40., 0.0037519483988389555]]"
"NH max","[[0., 0.], [0.25, 0.14447502303160734], [0.5, 0.5708925751462418], [0.75, 1.2173058088498174], [1., 2.001410584456187], [1.25, 2.8479283894798226], [1.5, 3.6977931315412222], [1.75, 4.508199517565134], [2., 5.2507992851713], [2.25, 5.908843114309951], [2.5, 6.474351144493478], [2.75, 6.945651376329078], [3., 7.324480321221445], [3.25, 7.618133595733268], [3.5, 7.832685670986938], [3.75, 7.9759761004775], [4., 8.056073199289983], [4.25, 8.080890005792858], [4.5, 8.057940616629491], [4.75, 7.994197654972836], [5., 7.894362071588253], [5.25, 7.767637192753052], [5.5, 7.61729086873759], [5.75, 7.44782139125517], [6., 7.263170983718622], [6.25, 7.066772472952314], [6.5, 6.861597916713481], [6.75, 6.650206627417695], [7., 6.434791000776231], [7.25, 6.217219233338035], [7.5, 5.9990744746080376], [7.75, 5.781690267298878], [8., 5.566182327830751], [8.25, 5.353476841102621], [8.5, 5.144335512580713], [8.75, 4.939377653987749], [9., 4.739099588503869], [9.25, 4.543891655975719], [9.5, 4.354053084124405], [9.75, 4.169804972213075], [10., 3.9913016118062554], [10.25, 3.8186403469035026], [10.5, 3.6518701539764145], [10.75, 3.490999101942041], [11., 3.3360008332204276], [11.25, 3.1868201898977127], [11.5, 3.0433780936658836], [11.75, 2.9055757745707047], [12., 2.7732984315592732], [12.25, 2.6464183972420994], [12.5, 2.524797870027592], [12.75, 2.408291268705912], [13., 2.2967724402817606], [13.25, 2.190034000027056], [13.5, 2.087944999808368], [13.75, 1.990346291136833], [14., 1.893967030198438], [14.25, 1.8079831265735309], [14.5, 1.7229029288330224], [14.75, 1.641682940379428], [15., 1.5641708072490337], [15.25, 1.4902172570371697], [15.5, 1.4196764466080838], [15.75, 1.3524062374871264], [16., 1.2882684086327587], [16.25, 1.2271288151005122], [16.5, 1.1688575000711205], [16.75, 1.113328766801791], [17., 1.0604212162569346], [17.25, 1.0100177554685594], [17.5, 0.9620055810549157], [17.75, 0.9162761417783929], [18., 0.8727250835409779], [18.25, 0.8235846609791282], [18.5, 0.7843907478393971], [18.75, 0.7541600680155754], [19., 0.7183602636724878], [19.25, 0.6842772170057684], [19.5, 0.6518299489396773], [19.75, 0.6209410083020912], [20., 0.5915363567545526], [20.25, 0.5635452525227744], [20.5, 0.5369001337435825], [20.75, 0.5116138049141878], [21., 0.4874653855299814], [21.25, 0.46447841088434383], [21.5, 0.4425968839728655], [21.75, 0.4217674184066337], [22., 0.40193913093657446], [22.25, 0.38306353660441606], [22.5, 0.36509444669648433], [22.75, 0.3477123621423226], [23., 0.3314493339686049], [23.25, 0.3159652838935546], [23.5, 0.30122236659415896], [23.75, 0.2871845622716374], [24., 0.273817593204691], [24.25, 0.2610888434769762], [24.5, 0.24896728183840333], [24.75, 0.23742338764869345], [25., 0.22642907984242916], [25.25, 0.2159576488473737], [25.5, 0.20598369138187622], [25.75, 0.1964830480525328], [26., 0.18743274366977603], [26.25, 0.17881093019653743], [26.5, 0.17059683224346733], [26.75, 0.16277069502325275], [27., 0.15531373467626564], [27.25, 0.14820809087999384], [27.5, 0.14143678165537532], [27.75, 0.13498366028421158], [28., 0.1288333742531962], [28.25, 0.12297132614172435], [28.5, 0.11738363637248528], [28.75, 0.1120571077458469], [29., 0.10697919168118486], [29.25, 0.10213795609054656], [29.5, 0.09752205481235822], [29.75, 0.09312069853524658], [30., 0.08892362714443995], [30.25, 0.084921083425618], [30.5, 0.081165493376302], [30.75, 0.0775213196443559], [31., 0.07404532758534642], [31.25, 0.07072952880515743], [31.5, 0.0675663245134568], [31.75, 0.06412286646476993], [32., 0.061270591744768364], [32.25, 0.058548640500692514], [32.5, 0.05595087711845218], [32.75, 0.05347146386035879], [33., 0.051104846004364275], [33.25, 0.04884573773719279], [33.5, 0.04668910876333978], [33.75, 0.04463017159372978], [34., 0.04266436947957091], [34.25, 0.040787364958618275], [34.5, 0.038995028982662126], [34.75, 0.03728343059659315], [35., 0.035648827140864786], [35.25, 0.03408765495057688], [35.5, 0.03259652052574464], [35.75, 0.031172192148595783], [36., 0.029811591924958702], [36.25, 0.028511788227966857], [36.5, 0.027269988523412], [36.75, 0.02608353255713353], [37., 0.02494988588583437], [37.25, 0.023866633733668735], [37.5, 0.022831475157854816], [37.75, 0.021842217507428235], [38., 0.020896771160072002], [38.25, 0.019993144522738013], [38.5, 0.019129439282514017], [38.75, 0.01830384589489315], [39., 0.017514639297268944], [39.25, 0.016760174836111634], [39.5, 0.01603888439688152], [39.75, 0.01534927272630454], [40., 0.014689913937174833]]"
"NH min","[[0., 0.], [0.25, 0.04123879518107146], [0.5, 0.19776411675423367], [0.75, 0.4643084776185944], [1., 0.8053146640416332], [1.25, 1.1824203015255181], [1.5, 1.5626115189348], [1.75, 1.9215897895170335], [2., 2.2434856035371658], [2.25, 2.5195115661664995], [2.5, 2.746221721177253], [2.75, 2.923906495427692], [3., 3.055271208155329], [3.25, 3.1444278889030346], [3.5, 3.1949932067040905], [3.75, 3.214426750556201], [4., 3.2062731636342097], [4.25, 3.175057043284003], [4.5, 3.1248851338315276], [4.75, 3.059407332740502], [5., 2.981816200151357], [5.25, 2.8948695445444557], [5.5, 2.8009255224963927], [5.75, 2.701983276071153], [6., 2.599724690745976], [6.25, 2.4955546309406436], [6.5, 2.390638204472708], [6.75, 2.285934385515246], [7., 2.1822258131776278], [7.25, 2.080144872325877], [7.5, 1.9801963214110625], [7.75, 1.8827768057632768], [8., 1.7881916162420128], [8.25, 1.6966690439262841], [8.5, 1.6083726558179448], [8.75, 1.523411783288597], [9., 1.4418504796936111], [9.25, 1.3637151693583054], [9.5, 1.2890011786677804], [9.75, 1.217678311984618], [10., 1.1496956107378267], [10.25, 1.0849854131163617], [10.5, 1.023466814045055], [10.75, 0.9650486101395881], [11., 0.9096318017420011], [11.25, 0.8571117135642109], [11.5, 0.8073797865871092], [11.75, 0.760325086393359], [12., 0.7158355668121443], [12.25, 0.6737991224225337], [12.5, 0.634104458932321], [12.75, 0.5966418065845625], [13., 0.5613034984329142], [13.25, 0.5279844324782836], [13.5, 0.4965824341991255], [13.75, 0.4619747503871075], [14., 0.43913717125217855], [14.25, 0.41290633847299274], [14.5, 0.3882425631302145], [14.75, 0.36500956026444425], [15., 0.34315318773218423], [15.25, 0.3225961451928515], [15.5, 0.3032647662623892], [15.75, 0.2850889526631425], [16., 0.26800209200929204], [16.25, 0.25194096270059374], [16.5, 0.23684562890209246], [16.75, 0.2226593281536766], [17., 0.2093283537737232], [17.25, 0.1968019338892978], [17.5, 0.18503210863588515], [17.75, 0.17397360681748703], [18., 0.16358372309876784], [18.25, 0.15382219661086682], [18.5, 0.14465109168808973], [18.75, 0.13603468131086371], [19., 0.12793933370838045], [19.25, 0.12033340246982915], [19.5, 0.11318712042389827], [19.75, 0.1064724974703868], [20., 0.10016322248363209], [20.25, 0.09423456935352827], [20.5, 0.0886633071848576], [20.75, 0.08342761463831577], [21., 0.07850699836595042], [21.25, 0.0738822154688357], [21.5, 0.06953519988488292], [21.75, 0.06550576207126929], [22., 0.06166053390175658], [22.25, 0.05804547735296127], [22.5, 0.05464656573768995], [22.75, 0.05145063527712995], [23., 0.04844533265350534], [23.25, 0.04528309085750075], [23.5, 0.042653493455913655], [23.75, 0.040179571027775], [24., 0.03785190992775113], [24.25, 0.03566167711641423], [24.5, 0.03360058395412015], [24.75, 0.03166085222376715], [25., 0.02983518225490075], [25.25, 0.02811672302719217], [25.5, 0.026499044136925463], [25.75, 0.024976109515722406], [26., 0.023542252796266462], [26.25, 0.022192154225217343], [26.5, 0.020920819028808473], [26.75, 0.019723557141763312], [27., 0.018595964215140003], [27.25, 0.017533903823499862], [27.5, 0.01653349079638788], [27.75, 0.015591075603507122], [28., 0.014703229727159577], [28.25, 0.013866731959516567], [28.5, 0.013078555566070155], [28.75, 0.012335856260210717], [29., 0.011635960937276145], [29.25, 0.01097635711963184], [29.5, 0.010354683067374967], [29.75, 0.009768718512115361], [30., 0.00921637597397929], [30.25, 0.0086956926245154], [30.5, 0.008204822660563998], [30.75, 0.007742030156387736], [31., 0.007305682363461063], [31.25, 0.006894243429285269], [31.5, 0.006506268508442233], [31.75, 0.006140398240829738], [32., 0.005795353573641569], [32.25, 0.005469930905172421], [32.5, 0.005162997529947417], [32.75, 0.004873487366004203], [33., 0.004600396946398119], [33.25, 0.004342781658162767], [33.5, 0.0040997522130446365], [33.75, 0.0038704713353460074], [34., 0.0036541506531595214], [34.25, 0.00345004778016501], [34.5, 0.003257463575988142], [34.75, 0.003075739573895182], [35., 0.0029042555653220783], [35.25, 0.0027424273314123927], [35.5, 0.0025897045123706797], [35.75, 0.002445568606028392], [36., 0.002309531087571207], [36.25, 0.002181131642892251], [36.5, 0.0020599365085175432], [36.75, 0.001945536911500179], [37., 0.0018375476031006494], [37.25, 0.0017356054804639493], [37.5, 0.0016393682908717438], [37.75, 0.0015485134134915332], [38., 0.0014627367138660167], [38.25, 0.0013817514666862392], [38.5, 0.0013052873426729911], [38.75, 0.001233089455653576], [39., 0.0011649174661667646], [39.25, 0.001100544738158534], [39.5, 0.001039757545546157], [39.75, 0.0009823543256293572], [40., 0.0009281449765154497]]"
