"noMSW max with SFR","[[0., 0.], [0.25, 0.18426932973724325], [0.5, 0.8888265561587682], [0.75, 2.077874882845711], [1., 3.607003459751386], [1.25, 5.323221288288645], [1.5, 7.096019706300234], [1.75, 8.825351085624723], [2., 10.441072329718015], [2.25, 11.89848894761117], [2.5, 13.172968136083325], [2.75, 14.254838241793383], [3., 15.145043517184892], [3.25, 15.850013269441806], [3.5, 16.385759125244462], [3.75, 16.765545033283733], [4., 17.005520317928607], [4.25, 17.1219618971484], [4.5, 17.130632158983612], [4.75, 17.046378984345786], [5., 16.879160547434605], [5.25, 16.64930262173392], [5.5, 16.363867130515285], [5.75, 16.032810603856834], [6., 15.66492136474476], [6.25, 15.267903777507627], [6.5, 14.84847147869891], [6.75, 14.412442873586878], [7., 13.964834544892955], [7.25, 13.509949895698865], [7.5, 13.051461515590681], [7.75, 12.592486555779224], [8., 12.135654928800536], [8.25, 11.683170488554731], [8.5, 11.236865553583042], [8.75, 10.798249251870908], [9., 10.368550218816102], [9.25, 9.94875419249094], [9.5, 9.539637036871133], [9.75, 9.141793694664816], [10., 8.755663533840739], [10.25, 8.38155251067334], [10.5, 8.019652530188242], [10.75, 7.670058344245286], [11., 7.332782289280481], [11.25, 7.007767130546265], [11.5, 6.694897247786483], [11.75, 6.39400836867174], [12., 6.104896030874515], [12.25, 5.827322931170416], [12.5, 5.5610253001615915], [12.75, 5.305718423863808], [13., 5.06115104269987], [13.25, 4.826907639272339], [13.5, 4.602719910055316], [13.75, 4.381747800843947], [14., 4.177005200044634], [14.25, 3.987209755985949], [14.5, 3.7999579973860955], [14.75, 3.6211194719205], [15., 3.4503720675919523], [15.25, 3.2873989526638425], [15.5, 3.131889485586518], [15.75, 2.983539953600843], [16., 2.84205416221543], [16.25, 2.707143895106255], [16.5, 2.578529261658095], [16.75, 2.4559389473160715], [17., 2.339110380107605], [17.25, 2.22778982509995], [17.5, 2.12173241715007], [17.75, 2.0207021410591635], [18., 1.9244717671438034], [18.25, 1.8154231089343194], [18.5, 1.7455450914741455], [18.75, 1.6624371887456502], [19., 1.5833056464442798], [19.25, 1.5079650827607227], [19.5, 1.436237917672943], [19.75, 1.3679541515955629], [20., 1.3029511364438242], [20.25, 1.2410733414743165], [20.5, 1.1822769237939443], [20.75, 1.1262035177995917], [21., 1.0728293736109784], [21.25, 1.0220778381465947], [21.5, 0.9737166785332192], [21.75, 0.92768418124353], [22., 0.8838679911396035], [22.25, 0.8421609997487274], [22.5, 0.8019050754104877], [22.75, 0.764162611752142], [23., 0.7282336122815937], [23.25, 0.6940300958294361], [23.5, 0.6614682859388965], [23.75, 0.6304684237408907], [24., 0.600954587349301], [24.25, 0.5728545177756592], [24.5, 0.5460994513271273], [24.75, 0.5206239584218871], [25., 0.49636578873106973], [25.25, 0.4732657225356232], [25.5, 0.451267428169479], [25.75, 0.43031732540660866], [26., 0.4103644546386096], [26.25, 0.3913603516809945], [26.5, 0.37325892804003463], [26.75, 0.3560163564675426], [27., 0.3395909616281285], [27.25, 0.3239431157019939], [27.5, 0.30903513874602234], [27.75, 0.29483120363666904], [28., 0.28129724541969725], [28.25, 0.268400874894118], [28.5, 0.25611129626056256], [28.75, 0.24439922866770117], [29., 0.23323683149410168], [29.25, 0.2225976332070144], [29.5, 0.2124564636439239], [29.75, 0.2027893895672427], [30., 0.19357365334719706], [30.25, 0.18478761463271506], [30.5, 0.17641069487494357], [30.75, 0.16855050352891554], [31., 0.16092698028820235], [31.25, 0.1536570410483761], [31.5, 0.14672384008924602], [31.75, 0.13921365159704527], [32., 0.1329655418012279], [32.25, 0.12700477213319047], [32.5, 0.1213177557554696], [32.75, 0.11589156710353886], [33., 0.11071390887213042], [33.25, 0.10577308067363672], [33.5, 0.10105794928475147], [33.75, 0.09655792040145328], [34., 0.09226291182622998], [34.25, 0.08816332801508923], [34.5, 0.08425003591540017], [34.75, 0.08051434202896869], [35., 0.07694797063796174], [35.25, 0.07354304313437436], [35.5, 0.07029205839667356], [35.75, 0.06718787416006498], [36., 0.06422368932951006], [36.25, 0.0613930271871836], [36.5, 0.05868971944850191], [36.75, 0.05610789112317825], [37., 0.053641946139979156], [37.25, 0.051286553695963286], [37.5, 0.04903663529299412], [37.75, 0.04688735242622543], [38., 0.04483409489107463], [38.25, 0.04287246967692518], [38.5, 0.04099829041743846], [38.75, 0.03920756736891207], [39., 0.03749649788960174], [39.25, 0.035861457394326765], [39.5, 0.034298990760011895], [39.75, 0.03280580415908231], [40., 0.031378757298828205]]"
"noMSW min with SFR","[[0., 0.], [0.25, 0.016707656599942444], [0.5, 0.10259822697885695], [0.75, 0.2700401431805754], [1., 0.5011394565676351], [1.25, 0.7685891378863835], [1.5, 1.0465367341966723], [1.75, 1.3147464999929317], [2., 1.559200039170759], [2.25, 1.771259171573968], [2.5, 1.9477271782810957], [2.75, 2.087659060503485], [3., 2.1925612089289506], [3.25, 2.2645725691455345], [3.5, 2.3086151621989517], [3.75, 2.3276603553634794], [4., 2.3253825953645255], [4.25, 2.3052434382956815], [4.5, 2.2703999020814107], [4.75, 2.2236654593265412], [5., 2.167504709007614], [5.25, 2.104048276538755], [5.5, 2.0351187528598738], [5.75, 1.962261631289397], [6., 1.8867774428739836], [6.25, 1.8097528361550237], [6.5, 1.7320893783485751], [6.75, 1.6545295191540077], [7., 1.5776795684552896], [7.25, 1.502029778070055], [7.5, 1.4279717447319553], [7.75, 1.3558134078869497], [8., 1.2857919295780182], [8.25, 1.2180847331194442], [8.5, 1.1528189542340268], [8.75, 1.0900795301491866], [9., 1.029916123130074], [9.25, 0.9723490474379991], [9.5, 0.9173743438904006], [9.75, 0.8649681244770334], [10., 0.8150902908469599], [10.25, 0.7676877146916234], [10.5, 0.7227121263536869], [10.75, 0.6800609212974279], [11., 0.6396726583132465], [11.25, 0.6014655290149842], [11.5, 0.5653547891680203], [11.75, 0.5312539495982738], [12., 0.4990757731882418], [12.25, 0.4687331040311613], [12.5, 0.44013955144505407], [12.75, 0.41321004865104904], [13., 0.38489405428709456], [13.25, 0.36402905594507823], [13.5, 0.3415994749983714], [13.75, 0.31945563578892877], [14., 0.2996940757988469], [14.25, 0.281132715404254], [14.5, 0.26460996640766093], [14.75, 0.24819979630948485], [15., 0.23279681868198573], [15.25, 0.21834234242786854], [15.5, 0.20478056533899877], [15.75, 0.1920585128821593], [16., 0.1801259645799919], [16.25, 0.16893537078207144], [16.5, 0.15844176221366313], [16.75, 0.14860265433269942], [17., 0.1393779482132094], [17.25, 0.13072982940081032], [17.5, 0.12262266594842001], [17.75, 0.11502290663402782], [18., 0.10789898018357896], [18.25, 0.10122119616753546], [18.5, 0.09496164810661974], [18.75, 0.08911977238399288], [19., 0.083618327953483], [19.25, 0.0784612000124649], [19.5, 0.0736267118849321], [19.75, 0.06909453000577934], [20., 0.06488520833276622], [20.25, 0.06089870123183774], [20.5, 0.057160968610931145], [20.75, 0.053656305183586425], [21., 0.050211764958696434], [21.25, 0.047142460736308796], [21.5, 0.04426392571495806], [21.75, 0.041363353631914936], [22., 0.03884991480132669], [22.25, 0.03649170600305463], [22.5, 0.03427896930116876], [22.75, 0.032202569188432145], [23., 0.03025395281912184], [23.25, 0.02842511269889643], [23.5, 0.02670855169860512], [23.75, 0.025097250262893635], [24., 0.02358463568889034], [24.25, 0.022164553355021148], [24.5, 0.02083123978499268], [24.75, 0.01957929743710739], [25., 0.01840367111425735], [25.25, 0.01729962589512262], [25.5, 0.01626272649222572], [25.75, 0.015288817947526241], [26., 0.014374007581147142], [26.25, 0.013514648113584195], [26.5, 0.012707321886342646], [26.75, 0.011948826110359854], [27., 0.011236159075799177], [27.25, 0.010566507260835425], [27.5, 0.009937233280892396], [27.75, 0.00934586462343975], [28., 0.008790083116911616], [28.25, 0.0082677150855763], [28.5, 0.007776722145270881], [28.75, 0.007315192597821496], [29., 0.006881333384706317], [29.25, 0.006473462563090983], [29.5, 0.006090002269781849], [29.75, 0.005729472140909171], [30., 0.005390483157276738], [30.25, 0.005071731887304667], [30.5, 0.004771995101354846], [30.75, 0.004490124732970879], [31., 0.004225043164193749], [31.25, 0.003975738813636818], [31.5, 0.003741262007426123], [31.75, 0.0035207211144399606], [32., 0.0033132789285216313], [32.25, 0.0031181492814962115], [32.5, 0.0029345938719018976], [32.75, 0.0027619192953536424], [33., 0.002599474263396115], [33.25, 0.0024466469985792746], [33.5, 0.002302862794306734], [33.75, 0.0021675817287689914], [34., 0.0020402965229838936], [34.25, 0.0019205305336290866], [34.5, 0.0018078358719686106], [34.75, 0.0017017916407517319], [35., 0.001602002281498809], [35.25, 0.0015080960250896938], [35.5, 0.0014197234390368866], [35.75, 0.0013365560652610234], [36., 0.0012582851425921777], [36.25, 0.0011846204085991972], [36.5, 0.0011152889757023762], [36.75, 0.001050034276854307], [37., 0.0009886150763811035], [37.25, 0.0009308045418630018], [37.5, 0.0008763893732009638], [37.75, 0.0008251689852656869], [38., 0.0007769547407585507], [38.25, 0.0007315692301316636], [38.5, 0.000688845595617343], [38.75, 0.0006486268966070828], [39., 0.0006107655137972296], [39.25, 0.0005751225896840727], [39.5, 0.000541567503145603], [39.75, 0.0005099773759916188], [40., 0.0004802366094987837]]"
"fiducial case","[[0., 0.], [0.25, 0.13065587623888678], [0.5, 0.4578637688373941], [0.75, 0.9255830748863898], [1., 1.473501752951212], [1.25, 2.0480195776204875], [1.5, 2.60772285700208], [1.75, 3.123774954923733], [2., 3.5785375332459566], [2.25, 3.9632533599553224], [2.5, 4.275634370250243], [2.75, 4.517781946412638], [3., 4.694538692799748], [3.25, 4.811497508713607], [3.5, 4.876156671448356], [3.75, 4.897075663609658], [4., 4.879820779770396], [4.25, 4.83065881194319], [4.5, 4.755247151976035], [4.75, 4.6585999529275925], [5., 4.545098882887377], [5.25, 4.418530152355565], [5.5, 4.282135354834558], [5.75, 4.138667938608967], [6., 3.9904501622478374], [6.25, 3.8394274806396185], [6.5, 3.6872187137119994], [6.75, 3.5351612637372383], [7., 3.384351218479074], [7.25, 3.2356785159500734], [7.5, 3.0898575307097254], [7.75, 2.9474535264573545], [8., 2.8089054429098788], [8.25, 2.6745454719460513], [8.5, 2.544615845353931], [8.75, 2.4192832148105534], [9., 2.298650960438508], [9.25, 2.182769721197339], [9.5, 2.071646400494929], [9.75, 1.965251864655896], [10., 1.8635275205010329], [10.25, 1.7663909311308374], [10.5, 1.6737406057237363], [10.75, 1.5854600793258298], [11., 1.5014213817757143], [11.25, 1.4214879806467793], [11.5, 1.3455172710110341], [11.75, 1.2733626745904985], [12., 1.2048754021695864], [12.25, 1.1399059257447346], [12.5, 1.0783052005758895], [12.75, 1.0199256719035472], [13., 0.964622096459725], [13.25, 0.9122522049113797], [13.5, 0.8578255406469625], [13.75, 0.8157623056086489], [14., 0.7714024083905223], [14.25, 0.7294426834650212], [14.5, 0.6897390330202667], [14.75, 0.6522002557757668], [15., 0.6167141725954278], [15.25, 0.5831733373769765], [15.5, 0.5514750020095487], [15.75, 0.5215210525861075], [16., 0.4932179223039638], [16.25, 0.46647648572691225], [16.5, 0.44121193841852846], [16.75, 0.4173436653763184], [17., 0.3947951011903535], [17.25, 0.37349358440887515], [17.5, 0.3533702082091793], [17.75, 0.3325039905025251], [18., 0.314620062831106], [18.25, 0.29772679932172713], [18.5, 0.28176872239616496], [18.75, 0.26669337396480086], [19., 0.2539471284449983], [19.25, 0.24042508664665524], [19.5, 0.22764711644019447], [19.75, 0.2155714490670836], [20., 0.20415864513116203], [20.25, 0.1933714731235], [20.5, 0.18317479283495958], [20.75, 0.17353544368300247], [21., 0.16448223557271247], [21.25, 0.1558611772031078], [21.5, 0.14770904541347038], [21.75, 0.13999957243926314], [22., 0.1327079828061729], [22.25, 0.12581091002348674], [22.5, 0.11894282183055566], [22.75, 0.11280059217701897], [23., 0.10698792149089176], [23.25, 0.10148651625292268], [23.5, 0.09627912493243446], [23.75, 0.09134947807427923], [24., 0.08668223173957154], [24.25, 0.0822629141344543], [24.5, 0.07807787526564851], [24.75, 0.0741532750134429], [25., 0.07039737404849164], [25.25, 0.06683929873969516], [25.5, 0.06346824093132487], [25.75, 0.06027400221157299], [26., 0.057246958686717885], [26.25, 0.05437802780478049], [26.5, 0.05165863711301775], [26.75, 0.04908069483930304], [27., 0.04663656219300213], [27.25, 0.04403653500947571], [27.5, 0.04185493373271746], [27.75, 0.0397858461582883], [28., 0.03782323716360744], [28.25, 0.03596140748656826], [28.5, 0.03419497442174425], [28.75, 0.03251885365277403], [29., 0.030928242153581836], [29.25, 0.029418602094966634], [29.5, 0.027985645696770506], [29.75, 0.02662532096932671], [30., 0.025333798291189414], [30.25, 0.024107457773273746], [30.5, 0.0229428773624874], [30.75, 0.021836821640724972], [31., 0.020786231277727923], [31.25, 0.019788213098795776], [31.5, 0.018840030730672665], [31.75, 0.01793909579113797], [32., 0.01708295958990319], [32.25, 0.016269305310370578], [32.5, 0.01549594064364533], [32.75, 0.014760790847920464], [33., 0.014061892207977813], [33.25, 0.013397385871074256], [33.5, 0.01276551203691768], [33.75, 0.012164604480783743], [34., 0.011593085390091237], [34.25, 0.011049460495942286], [34.5, 0.010532314482250742], [34.75, 0.010040306656130163], [35., 0.009572166864197863], [35.25, 0.009126691640375406], [35.5, 0.008702740571634312], [35.75, 0.008299232868950164], [36., 0.007915144131493523], [36.25, 0.00754950329280412], [36.5, 0.007201389738369092], [36.75, 0.006869930584658967], [37., 0.00655429811026949], [37.25, 0.006253707330375285], [37.5, 0.005967413706225389], [37.75, 0.0056947109819025015], [38., 0.005434929141029893], [38.25, 0.005187432476543626], [38.5, 0.004951617767055273], [38.75, 0.004726912553712909], [39., 0.004512773511827591], [39.25, 0.0043086849118702825], [39.5, 0.0041141571647611876], [39.75, 0.003928725446671694], [40., 0.0037519483988389555]]"
"noMSW max","[[0., 0.], [0.25, 0.09583722274627736], [0.5, 0.46227263520662787], [0.75, 1.0806885674905184], [1., 1.8759779205346465], [1.25, 2.768571118486756], [1.5, 3.6905914954723995], [1.75, 4.590004961830447], [2., 5.430330571018164], [2.25, 6.188323022840288], [2.5, 6.851170964194764], [2.75, 7.413844234083571], [3., 7.876833931768264], [3.25, 8.243483896104562], [3.5, 8.52212166502231], [3.75, 8.719645727852285], [4., 8.8444552381539], [4.25, 8.905015710048644], [4.5, 8.909525054148146], [4.75, 8.865705552137907], [5., 8.778736382562087], [5.25, 8.659188841705529], [5.5, 8.510735787740332], [5.75, 8.338555544114243], [6., 8.147218857726891], [6.25, 7.940732715966401], [6.5, 7.7225888354561025], [6.75, 7.495813329128179], [7., 7.263015287471992], [7.25, 7.026432881106049], [7.5, 6.78797619884827], [7.75, 6.549266449802474], [8., 6.31167143355788], [8.25, 6.076337359510411], [8.5, 5.844217204047558], [8.75, 5.616095854351032], [9., 5.392612315319033], [9.25, 5.174279262605946], [9.5, 4.961500217778639], [9.75, 4.754584606485546], [10., 4.553760941013268], [10.25, 4.35918834713529], [10.5, 4.170966633347758], [10.75, 3.9891450794473156], [11., 3.813730101530268], [11.25, 3.6446919321944176], [11.5, 3.4819704381323993], [11.75, 3.325480182425081], [12., 3.1751148256091684], [12.25, 3.0307509478946897], [12.5, 2.892251364615202], [12.75, 2.7594679979676067], [13., 2.6322701695579407], [13.25, 2.5104417716192193], [13.5, 2.393843261315898], [13.75, 2.2789171730656057], [14., 2.172431941549131], [14.25, 2.07372062440038], [14.5, 1.9763322607255582], [14.75, 1.8833195622743197], [15., 1.7945150007918542], [15.25, 1.7097537942509096], [15.5, 1.628874380098288], [15.75, 1.5517187993975265], [16., 1.4781330034119855], [16.25, 1.4079670927955072], [16.5, 1.3410754983463475], [16.75, 1.2773171112133093], [17., 1.216555369502674], [17.25, 1.1586583074049246], [17.5, 1.1034985722277302], [17.75, 1.0509534140744514], [18., 1.000904652335129], [18.25, 0.9441891882809245], [18.5, 0.9078461075634315], [18.75, 0.8646222536691123], [19., 0.8234664777371823], [19.25, 0.7842823639518495], [19.5, 0.7469775541537205], [19.75, 0.7114636327168536], [20., 0.6776560074806843], [20.25, 0.6454737879653842], [20.5, 0.6148941717810089], [20.75, 0.5857307754193567], [21., 0.5579712467295305], [21.25, 0.5315757189661672], [21.5, 0.5064234093943883], [21.75, 0.48248222122916273], [22., 0.45969371932886777], [22.25, 0.43800219730670564], [22.5, 0.4170653653707429], [22.75, 0.397435767207142], [23., 0.3787493394102872], [23.25, 0.3609603235734924], [23.5, 0.3440251481324605], [23.75, 0.3279023310428745], [24., 0.31255238584911227], [24.25, 0.2979377311436597], [24.5, 0.2840226033984419], [24.75, 0.2707729731338062], [25., 0.25815646437789475], [25.25, 0.24614227735836433], [25.5, 0.2347011143595485], [25.75, 0.22380510867099684], [26., 0.21342775654762866], [26.25, 0.20354385209733727], [26.5, 0.19412942500859112], [26.75, 0.185161681028256], [27., 0.1766189450983802], [27.25, 0.1684806070599188], [27.5, 0.16072706983121607], [27.75, 0.1533396999694499], [28., 0.14630078052404755], [28.25, 0.13959346609228154], [28.5, 0.1332017399887492], [28.75, 0.12711037344219986], [29., 0.1213048867351385], [29.25, 0.11577151220376462], [29.5, 0.11049715901806875], [29.75, 0.10546937966426777], [30., 0.1006763380541916], [30.25, 0.0961067791887097], [30.5, 0.09175000030479011], [30.75, 0.08766196834672195], [31., 0.08369702585752167], [31.25, 0.07991597999778677], [31.5, 0.07631006942323629], [31.75, 0.07240407156445046], [32., 0.0691544722355833], [32.25, 0.06605431654917827], [32.5, 0.06309653808365426], [32.75, 0.06027441434097857], [33., 0.057581549576477854], [33.25, 0.05501185849828631], [33.5, 0.05255955079282648], [33.75, 0.05021911643476866], [34., 0.04798531174188898], [34.25, 0.04585314613714309], [34.5, 0.04381786958209223], [34.75, 0.04187496064756496], [35., 0.04002011518910882], [35.25, 0.0382492355963869], [35.5, 0.036558420587204134], [35.75, 0.034943955518309866], [36., 0.03340230318651863], [36.25, 0.03193009509502327], [36.5, 0.030524123161043804], [36.75, 0.029181331842165512], [37., 0.02789881065987268], [37.25, 0.026673787099880733], [37.5, 0.025503619869914822], [37.75, 0.02438579249657502], [38., 0.023317907243872827], [38.25, 0.022297679336921485], [38.5, 0.02132293147511505], [38.75, 0.020391588619940875], [39., 0.019501673043339756], [39.25, 0.018651299623257893], [39.5, 0.017838671373727796], [39.75, 0.01706207519747263], [40., 0.016319877849652643]]"
"noMSW min","[[0., 0.], [0.25, 0.025202596864440208], [0.5, 0.15476387954749876], [0.75, 0.40734095922340174], [1., 0.7559417816130036], [1.25, 1.159375169142805], [1.5, 1.5786440939824802], [1.75, 1.9832240278609596], [2., 2.3519689780058917], [2.25, 2.671848716580327], [2.5, 2.9380411658868555], [2.75, 3.1491208463338043], [3., 3.3073600668472176], [3.25, 3.415985311227977], [3.5, 3.482421182168351], [3.75, 3.5111498265871406], [4., 3.5077139487508804], [4.25, 3.4773351189156143], [4.5, 3.424775527970777], [4.75, 3.3542791472611513], [5., 3.2695636911212826], [5.25, 3.17384309281944], [5.5, 3.0698666322700463], [5.75, 2.9599656026037695], [6., 2.846101784605519], [6.25, 2.729914328862223], [6.5, 2.612763200785942], [6.75, 2.495768345615758], [7., 2.379844349038131], [7.25, 2.2657307294198636], [7.5, 2.154018189266277], [7.75, 2.0451712385862266], [8., 1.9395476235019768], [8.25, 1.8374149774926751], [8.5, 1.738965077923963], [8.75, 1.6443260480122022], [9., 1.5535728005999259], [9.25, 1.466735978652252], [9.5, 1.3838096099562969], [9.75, 1.3047576607398494], [10., 1.2295196448079988], [10.25, 1.1580154209790874], [10.5, 1.0901721770841932], [10.75, 1.0258351397273702], [11., 0.964911628165083], [11.25, 0.9072782388688867], [11.5, 0.8528071397416251], [11.75, 0.801367866539288], [12., 0.7528288267856418], [12.25, 0.7070585505064646], [12.5, 0.6639267220277589], [12.75, 0.623305022711802], [13., 0.5805918758080666], [13.25, 0.5491181536468832], [13.5, 0.5152843431985569], [13.75, 0.4818815587153943], [14., 0.4520723136627876], [14.25, 0.4240735048243224], [14.5, 0.3991498310845291], [14.75, 0.374395976527652], [15., 0.3511614173699548], [15.25, 0.3293576212636598], [15.5, 0.3089004135941316], [15.75, 0.2897098851415004], [16., 0.2717102810302918], [16.25, 0.25482987518309086], [16.5, 0.2390008338797317], [16.75, 0.22415907148496722], [17., 0.21024410093647972], [17.25, 0.19719888117385748], [17.5, 0.18496966333097817], [17.75, 0.17350583720301832], [18., 0.16275977922962165], [18.25, 0.1526867030027182], [18.5, 0.14324451310677605], [18.75, 0.13443235935625952], [19., 0.12613372780821], [19.25, 0.11835447907285668], [19.5, 0.11106191505615602], [19.75, 0.10422536367425836], [20., 0.09787582946141932], [20.25, 0.09186239898653903], [20.5, 0.08622423136750255], [20.75, 0.08093763602861939], [21., 0.07574173329073634], [21.25, 0.07111185377960094], [21.5, 0.066769739296381], [21.75, 0.0623943830967906], [22., 0.058602996482406654], [22.25, 0.0550457659809591], [22.5, 0.05170797227355356], [22.75, 0.0485758349413343], [23., 0.045636452478844264], [23.25, 0.04287774601370695], [23.5, 0.0402884065318486], [23.75, 0.03785784541345273], [24., 0.035576148091518704], [24.25, 0.033434030652084265], [24.5, 0.03142279920270011], [24.75, 0.029534311843474496], [25., 0.027760943082824008], [25.25, 0.026095550547879223], [25.5, 0.024531443847225623], [25.75, 0.023062355451251577], [26., 0.0216824134627777], [26.25, 0.020386116157822105], [26.5, 0.019168308183283755], [26.75, 0.01802415830498539], [27., 0.016949138605893015], [27.25, 0.0159390050404156], [27.5, 0.014989779256481267], [27.75, 0.014097731602587326], [28., 0.013259365242233232], [28.25, 0.012471401303073709], [28.5, 0.01173076499278192], [28.75, 0.011034572617997628], [29., 0.010380119446862738], [29.25, 0.009764868359527445], [29.5, 0.00918643923465404], [29.75, 0.008642599023364679], [30., 0.008131252465283999], [30.25, 0.0076504334043295055], [30.5, 0.00719829666471263], [30.75, 0.006773110450241546], [31., 0.006373249232474693], [31.25, 0.005997187095570403], [31.5, 0.005643491507823527], [31.75, 0.005310817491883252], [32., 0.0049979021675165825], [32.25, 0.0047035596425272245], [32.5, 0.004426676229068234], [32.75, 0.004166205964106086], [33., 0.003921166414210694], [33.25, 0.0036906347461677235], [33.5, 0.0034737440461417458], [33.75, 0.00326967987126809], [34., 0.003077677018622664], [34.25, 0.0028970164975182], [34.5, 0.002727022692006705], [34.75, 0.0025670607013366497], [35., 0.0024165338469230345], [35.25, 0.0022748813351437442], [35.5, 0.002141576065979628], [35.75, 0.002016122578172456], [36., 0.001898055122187187], [36.25, 0.001786935852836289], [36.5, 0.0016823531339564559], [36.75, 0.0015839199480251628], [37., 0.0014912724040681172], [37.25, 0.0014040683376413186], [37.5, 0.0013219859970751025], [37.75, 0.0012447228105443553], [38., 0.0011719942288807193], [38.25, 0.0011035326393709047], [38.5, 0.0010390863460917016], [38.75, 0.0009784186126184542], [39., 0.0009213067632110237], [39.25, 0.0008675413388308732], [39.5, 0.0008169253045760532], [39.75, 0.0007692733053387087], [40., 0.0007244109666932667]]"
