"[1.835356694763986, 2.2631020462251397, 2.2631020462251397]","1 vs 2 stars"
"[2.103784323132869, 2.2631020462251397, 3.1882506776199317]","BPS Models"
"[1.835356694763986, 2.2631020462251397, 3.1882506776199317]","Stellar Distribution"
"[1.4523852949869416, 2.2631020462251397, 2.54960787262455]","CE Models"
"[2.094623519162365, 2.2631020462251397, 2.2631020462251397]","BH/NS Criterion"
"[1.5562529301216828, 2.2631020462251397, 4.168717004793701]","Max NS Mass"
"[2.0731973975820512, 2.2631020462251397, 2.3862922691136004]","Spectral Pinching"
"[1.7660397507748267, 2.2631020462251397, 2.2631020462251397]","Flavor Conversions"
"[1.500287134787552, 2.2631020462251397, 4.351339544645653]","SFR uncertainty"
"[1.0546043352471748, 2.2631020462251397, 7.567886535805356]","Global"
