"IH max with SFR","[[0., 0.], [0.25, 0.4891594083272318], [0.5, 1.5685919683667136], [0.75, 2.934052164845673], [1., 4.392565433686792], [1.25, 5.820239788067639], [1.5, 7.141123350387505], [1.75, 8.313005889716111], [2., 9.31667293741572], [2.25, 10.148114143409876], [2.5, 10.812956206792142], [2.75, 11.322559545875945], [3., 11.689700974672077], [3.25, 11.933461931903327], [3.5, 12.067840891283137], [3.75, 12.107963079533755], [4., 12.067905788967039], [4.25, 11.960485797454504], [4.5, 11.794847848788681], [4.75, 11.586023644582637], [5., 11.34034911890773], [5.25, 11.06553972737497], [5.5, 10.768246739097027], [5.75, 10.454167664531331], [6., 10.128154401749187], [6.25, 9.794315363621896], [6.5, 9.456109577844696], [6.75, 9.1164318911834], [7., 8.777689138687544], [7.25, 8.441867586250131], [7.5, 8.110592211738144], [7.75, 7.785178519847665], [8., 7.466677633319285], [8.25, 7.155915398818867], [8.5, 6.853526210489003], [8.75, 6.559982201873805], [9., 6.275618396785048], [9.25, 6.000654347573003], [9.5, 5.73521272879157], [9.75, 5.4793352974828515], [10., 5.2329965793213695], [10.25, 4.996115593069615], [10.5, 4.768565884213586], [10.75, 4.550184102033673], [11., 4.3407773223535076], [11.25, 4.140129290365334], [11.5, 3.9480057338069403], [11.75, 3.7641588759251743], [12., 3.5883312596948715], [12.25, 3.420258979295362], [12.5, 3.25967440154395], [12.75, 3.1063084485497314], [13., 2.959938203180038], [13.25, 2.820202780184667], [13.5, 2.6868877044152506], [13.75, 2.5597341476559117], [14., 2.438488546213175], [14.25, 2.3176595171270944], [14.5, 2.20774696945985], [14.75, 2.103014479891834], [15., 2.0077328639668592], [15.25, 1.9124477965637692], [15.5, 1.8216887137393205], [15.75, 1.7352509858416278], [16., 1.6529375467884104], [16.25, 1.574558849630197], [16.5, 1.4999327836639795], [16.75, 1.428884559936209], [17., 1.361246571028175], [17.25, 1.2968582301951739], [17.5, 1.235565794217007], [17.75, 1.1772221736968984], [18., 1.121686734006747], [18.25, 1.068825089607987], [18.5, 1.0185088940701001], [18.75, 0.9706156277550906], [19., 0.9172192568203329], [19.25, 0.8741266596736088], [19.5, 0.8331157767154969], [19.75, 0.8010550267540966], [20., 0.7636255183430695], [20.25, 0.7279944709637401], [20.5, 0.6940742962233845], [20.75, 0.6618764341864065], [21., 0.6311264879831106], [21.25, 0.6018492853545541], [21.5, 0.5739729455220157], [21.75, 0.5474290793242139], [22., 0.5221526289137952], [22.25, 0.4980817134217354], [22.5, 0.47515748055466933], [22.75, 0.4533239640602828], [23., 0.43199500894486026], [23.25, 0.41222742821030256], [23.5, 0.3933956693835542], [23.75, 0.37545418348565185], [24., 0.3583596707870003], [24.25, 0.3420709710306336], [24.5, 0.32654895864759625], [24.75, 0.31175644279021514], [25., 0.2976580720078238], [25.25, 0.28422024338956564], [25.5, 0.27141101600004197], [25.75, 0.25920002843558654], [26., 0.24755842033170233], [26.25, 0.23645875765553642], [26.5, 0.2258749616210992], [26.75, 0.2157822410691289], [27., 0.2061570281579948], [27.25, 0.1969769172167391], [27.5, 0.1882206066162158], [27.75, 0.17986784351923663], [28., 0.17189937137564174], [28.25, 0.1642968800332322], [28.5, 0.15704295834049248], [28.75, 0.15012104912198365], [29., 0.14351540641216368], [29.25, 0.13721105483817592], [29.5, 0.13129329060576855], [29.75, 0.1255450094158092], [30., 0.12005749669605736], [30.25, 0.11481849117277908], [30.5, 0.1098163273920298], [30.75, 0.10503990600433034], [31., 0.10047866555170722], [31.25, 0.09612255568175476], [31.5, 0.09196201171695703], [31.75, 0.08734869704225083], [32., 0.08358902009337627], [32.25, 0.07999693420719345], [32.5, 0.07656468216736678], [32.75, 0.07328487963851348], [33., 0.07015049661640628], [33.25, 0.06715483982535399], [33.5, 0.06429153601385822], [33.75, 0.06155451610213005], [34., 0.058938000137415625], [34.25, 0.056436483015336825], [34.5, 0.05404472092759612], [34.75, 0.05175771849843774], [35., 0.049570716574197614], [35.25, 0.047479180632119054], [35.5, 0.04547878977636596], [35.75, 0.04356542629082839], [36., 0.041735165719899325], [36.25, 0.03998426744990061], [36.5, 0.038309165765262394], [36.75, 0.03670646135491215], [37., 0.03517291324561154], [37.25, 0.03370543114019661], [37.5, 0.03230106813983024], [37.75, 0.030957013830469664], [38., 0.02967058771478861], [38.25, 0.028439232971777216], [38.5, 0.027260510527173643], [38.75, 0.026132093418764338], [39., 0.02505176144142694], [39.25, 0.024017396057581217], [39.5, 0.023026975559465267], [39.75, 0.02207857047036476], [40., 0.021170339172597065]]"
"IH min with SFR","[[0., 0.], [0.25, 0.049615604688826996], [0.5, 0.19530851239648458], [0.75, 0.40618547683570966], [1., 0.6483919644382176], [1.25, 0.8956820193808401], [1.5, 1.1298409332467987], [1.75, 1.339675131217413], [2., 1.5192937786736824], [2.25, 1.6665881268485156], [2.5, 1.7819596761572056], [2.75, 1.8673627540012385], [3., 1.9256154455713494], [3.25, 1.9599308463423142], [3.5, 1.972897047560729], [3.75, 1.9691227201734811], [4., 1.9507841015744376], [4.25, 1.9205249970341014], [4.5, 1.8806831267491075], [4.75, 1.8332938371677343], [5., 1.7801074383172373], [5.25, 1.722613747904506], [5.5, 1.6620696420034864], [5.75, 1.599526968556145], [6., 1.535859248166567], [6.25, 1.4717863029048879], [6.5, 1.407896421047376], [6.75, 1.3446659599424626], [7., 1.2824764656273344], [7.25, 1.2216294856726093], [7.5, 1.1623592984980475], [7.75, 1.1048437970277043], [8., 1.049213759868295], [8.25, 0.9955607277145909], [8.5, 0.9439436819256063], [8.75, 0.8943946996362039], [9., 0.8469237374483081], [9.25, 0.8015226748480183], [9.5, 0.7581687295939098], [9.75, 0.7168273406233204], [10., 0.677454599512492], [10.25, 0.6399992990647069], [10.5, 0.6044046569889415], [10.75, 0.570609763649101], [11., 0.5385507952909497], [11.25, 0.508162027785044], [11.5, 0.4793766805744088], [11.75, 0.45212761602325524], [12., 0.42634791558811913], [12.25, 0.4019713510568048], [12.5, 0.37893276642371454], [12.75, 0.35716838370916437], [13., 0.33661604411595614], [13.25, 0.3172153942913982], [13.5, 0.298908026079805], [13.75, 0.2816375769701083], [14., 0.26534979743326387], [14.25, 0.24736867772878315], [14.5, 0.23301917315908124], [14.75, 0.22188660102420904], [15., 0.2090292014402204], [15.25, 0.19691562926702688], [15.5, 0.18550445594717416], [15.75, 0.17475627575034633], [16., 0.16463364880224776], [16.25, 0.15510103917652668], [16.5, 0.14612474937458725], [16.75, 0.13767285231547235], [17., 0.12971512178231123], [17.25, 0.12222296211961767], [17.5, 0.11516933784397976], [17.75, 0.10852870371678149], [18., 0.10227693572926612], [18.25, 0.09639126336551178], [18.5, 0.09085020343601459], [18.75, 0.08563349571205232], [19., 0.08072204053751403], [19.25, 0.0760978385492709], [19.5, 0.07174393259841606], [19.75, 0.06764435193193022], [20., 0.0637840586667524], [20.25, 0.06014889656516919], [20.5, 0.05672554210128162], [20.75, 0.05350145779253698], [21., 0.05046484775746512], [21.25, 0.04760461545042931], [21.5, 0.04491032351603558], [21.75, 0.04237215569953256], [22., 0.04001582885332047], [22.25, 0.03776061281164617], [22.5, 0.03563554985529059], [22.75, 0.03363296459650828], [23., 0.03174564013383523], [23.25, 0.02996679086997249], [23.5, 0.02829003685989105], [23.75, 0.026497556630583095], [24., 0.025023950933607413], [24.25, 0.023634283283298276], [24.5, 0.022323647757387002], [24.75, 0.02108743210654881], [25., 0.019921299910136345], [25.25, 0.018821173808231707], [25.5, 0.01778321974881425], [25.75, 0.016803832191667218], [26., 0.01587962021344351], [26.25, 0.01500739446106137], [26.5, 0.014184154903290091], [26.75, 0.013407079333002345], [27., 0.012673512575104878], [27.25, 0.011980956357606636], [27.5, 0.011327059805637902], [27.75, 0.010709610520493339], [28., 0.010126526207933528], [28.25, 0.009575846822044369], [28.5, 0.009055727192919966], [28.75, 0.008564430108306187], [29., 0.00810031982111794], [29.25, 0.007661855956427897], [29.5, 0.007247587793118884], [29.75, 0.006856148896900598], [30., 0.006486252082815764], [30.25, 0.006136684686705443], [30.5, 0.005806304126370856], [30.75, 0.005494033734363061], [31., 0.005198858845456115], [31.25, 0.004919823122916593], [31.5, 0.004656025108676647], [31.75, 0.0044066149834516306], [32., 0.004170791523720575], [32.25, 0.0039477992433111925], [32.5, 0.003736925708103555], [32.75, 0.0035374990130913166], [33., 0.003348885411718655], [33.25, 0.0031704870880480867], [33.5, 0.003001740062911021], [33.75, 0.0028421122257521435], [34., 0.0026911014844024353], [34.25, 0.002548234025506176], [34.5, 0.0024130626787866685], [34.75, 0.002285165378765394], [35., 0.0021641437179520714], [35.25, 0.0020496215858999364], [35.5, 0.0019412438888733769], [35.75, 0.0018386753452053807], [36., 0.0017415993517312892], [36.25, 0.0016497169169747126], [36.5, 0.0015627456570322764], [36.75, 0.0014804188503573087], [37., 0.0014024845478798574], [37.25, 0.001328704735122498], [37.5, 0.0012588545431792793], [37.75, 0.0011927215056197836], [38., 0.0011301048585624564], [38.25, 0.0010708148813319777], [38.5, 0.0010146722752751595], [38.75, 0.000961507578459431], [39., 0.000911160614118082], [39.25, 0.0008634799708375994], [39.5, 0.0008183225126053627], [39.75, 0.0007755529169510869], [40., 0.000735043239523256]]"
"fiducial case","[[0., 0.], [0.25, 0.13065587623888678], [0.5, 0.4578637688373941], [0.75, 0.9255830748863898], [1., 1.473501752951212], [1.25, 2.0480195776204875], [1.5, 2.60772285700208], [1.75, 3.123774954923733], [2., 3.5785375332459566], [2.25, 3.9632533599553224], [2.5, 4.275634370250243], [2.75, 4.517781946412638], [3., 4.694538692799748], [3.25, 4.811497508713607], [3.5, 4.876156671448356], [3.75, 4.897075663609658], [4., 4.879820779770396], [4.25, 4.83065881194319], [4.5, 4.755247151976035], [4.75, 4.6585999529275925], [5., 4.545098882887377], [5.25, 4.418530152355565], [5.5, 4.282135354834558], [5.75, 4.138667938608967], [6., 3.9904501622478374], [6.25, 3.8394274806396185], [6.5, 3.6872187137119994], [6.75, 3.5351612637372383], [7., 3.384351218479074], [7.25, 3.2356785159500734], [7.5, 3.0898575307097254], [7.75, 2.9474535264573545], [8., 2.8089054429098788], [8.25, 2.6745454719460513], [8.5, 2.544615845353931], [8.75, 2.4192832148105534], [9., 2.298650960438508], [9.25, 2.182769721197339], [9.5, 2.071646400494929], [9.75, 1.965251864655896], [10., 1.8635275205010329], [10.25, 1.7663909311308374], [10.5, 1.6737406057237363], [10.75, 1.5854600793258298], [11., 1.5014213817757143], [11.25, 1.4214879806467793], [11.5, 1.3455172710110341], [11.75, 1.2733626745904985], [12., 1.2048754021695864], [12.25, 1.1399059257447346], [12.5, 1.0783052005758895], [12.75, 1.0199256719035472], [13., 0.964622096459725], [13.25, 0.9122522049113797], [13.5, 0.8578255406469625], [13.75, 0.8157623056086489], [14., 0.7714024083905223], [14.25, 0.7294426834650212], [14.5, 0.6897390330202667], [14.75, 0.6522002557757668], [15., 0.6167141725954278], [15.25, 0.5831733373769765], [15.5, 0.5514750020095487], [15.75, 0.5215210525861075], [16., 0.4932179223039638], [16.25, 0.46647648572691225], [16.5, 0.44121193841852846], [16.75, 0.4173436653763184], [17., 0.3947951011903535], [17.25, 0.37349358440887515], [17.5, 0.3533702082091793], [17.75, 0.3325039905025251], [18., 0.314620062831106], [18.25, 0.29772679932172713], [18.5, 0.28176872239616496], [18.75, 0.26669337396480086], [19., 0.2539471284449983], [19.25, 0.24042508664665524], [19.5, 0.22764711644019447], [19.75, 0.2155714490670836], [20., 0.20415864513116203], [20.25, 0.1933714731235], [20.5, 0.18317479283495958], [20.75, 0.17353544368300247], [21., 0.16448223557271247], [21.25, 0.1558611772031078], [21.5, 0.14770904541347038], [21.75, 0.13999957243926314], [22., 0.1327079828061729], [22.25, 0.12581091002348674], [22.5, 0.11894282183055566], [22.75, 0.11280059217701897], [23., 0.10698792149089176], [23.25, 0.10148651625292268], [23.5, 0.09627912493243446], [23.75, 0.09134947807427923], [24., 0.08668223173957154], [24.25, 0.0822629141344543], [24.5, 0.07807787526564851], [24.75, 0.0741532750134429], [25., 0.07039737404849164], [25.25, 0.06683929873969516], [25.5, 0.06346824093132487], [25.75, 0.06027400221157299], [26., 0.057246958686717885], [26.25, 0.05437802780478049], [26.5, 0.05165863711301775], [26.75, 0.04908069483930304], [27., 0.04663656219300213], [27.25, 0.04403653500947571], [27.5, 0.04185493373271746], [27.75, 0.0397858461582883], [28., 0.03782323716360744], [28.25, 0.03596140748656826], [28.5, 0.03419497442174425], [28.75, 0.03251885365277403], [29., 0.030928242153581836], [29.25, 0.029418602094966634], [29.5, 0.027985645696770506], [29.75, 0.02662532096932671], [30., 0.025333798291189414], [30.25, 0.024107457773273746], [30.5, 0.0229428773624874], [30.75, 0.021836821640724972], [31., 0.020786231277727923], [31.25, 0.019788213098795776], [31.5, 0.018840030730672665], [31.75, 0.01793909579113797], [32., 0.01708295958990319], [32.25, 0.016269305310370578], [32.5, 0.01549594064364533], [32.75, 0.014760790847920464], [33., 0.014061892207977813], [33.25, 0.013397385871074256], [33.5, 0.01276551203691768], [33.75, 0.012164604480783743], [34., 0.011593085390091237], [34.25, 0.011049460495942286], [34.5, 0.010532314482250742], [34.75, 0.010040306656130163], [35., 0.009572166864197863], [35.25, 0.009126691640375406], [35.5, 0.008702740571634312], [35.75, 0.008299232868950164], [36., 0.007915144131493523], [36.25, 0.00754950329280412], [36.5, 0.007201389738369092], [36.75, 0.006869930584658967], [37., 0.00655429811026949], [37.25, 0.006253707330375285], [37.5, 0.005967413706225389], [37.75, 0.0056947109819025015], [38., 0.005434929141029893], [38.25, 0.005187432476543626], [38.5, 0.004951617767055273], [38.75, 0.004726912553712909], [39., 0.004512773511827591], [39.25, 0.0043086849118702825], [39.5, 0.0041141571647611876], [39.75, 0.003928725446671694], [40., 0.0037519483988389555]]"
"IH max","[[0., 0.], [0.25, 0.25440847503565406], [0.5, 0.8158139940311446], [0.75, 1.5259805376861888], [1., 2.2845433501935384], [1.25, 3.0270670534329653], [1.5, 3.7140495934164486], [1.75, 4.3235377166665625], [2., 4.84553810897626], [2.25, 5.277965014598148], [2.5, 5.623744841389274], [2.75, 5.888786065502167], [3., 6.079733820839933], [3.25, 6.206512233657351], [3.5, 6.276401814744229], [3.75, 6.297269091452327], [4., 6.2764355675874], [4.25, 6.220567161984201], [4.5, 6.13441999357501], [4.75, 6.0258119479396015], [5., 5.898038301214096], [5.25, 5.755111809287041], [5.5, 5.600491751900783], [5.75, 5.437141365420198], [6., 5.267584088970311], [6.25, 5.093956680089898], [6.5, 4.918058155512705], [6.75, 4.741394105315536], [7., 4.565216308006976], [7.25, 4.3905578069431375], [7.5, 4.218263742039699], [7.75, 4.049018298324965], [8., 3.883368157573746], [8.25, 3.7217428370094634], [8.5, 3.564472280702784], [8.75, 3.4118020420927833], [9., 3.2639063647810413], [9.25, 3.12089943644886], [9.5, 2.9828450592957907], [9.75, 2.8497649508748903], [10., 2.7216458621630655], [10.25, 2.5984456753705105], [10.5, 2.4800986223661807], [10.75, 2.366519745553914], [11., 2.2576087063842065], [11.25, 2.153253032205151], [11.5, 2.0533308796095504], [11.75, 1.9577133815964944], [12., 1.8662666365215612], [12.25, 1.77885338876573], [12.5, 1.69533444413439], [12.75, 1.6155698570500352], [13., 1.5394436898309691], [13.25, 1.46676824851771], [13.5, 1.3974319860470699], [13.75, 1.3313002876276816], [14., 1.268241276510405], [14.25, 1.2053989218372134], [14.5, 1.1482341547627526], [14.75, 1.0937635006076925], [15., 1.0442081814341324], [15.25, 0.9946510671703238], [15.5, 0.9474478866448535], [15.75, 0.9024922133701653], [16., 0.859681554619715], [16.25, 0.8189173283166954], [16.5, 0.7801048199254128], [16.75, 0.7431531229021752], [17., 0.7079750657706233], [17.25, 0.6744871284591091], [17.5, 0.6426093501664458], [17.75, 0.6122652306996682], [18., 0.5833816269470151], [18.25, 0.55588864590561], [18.5, 0.5297195354715198], [18.75, 0.5048105740158975], [19., 0.47703948534685925], [19.25, 0.45462731921289035], [19.5, 0.4332978384431792], [19.75, 0.4166232608569646], [20., 0.39715642858495115], [20.25, 0.37862496364043097], [20.5, 0.3609833118971941], [20.75, 0.34423742325478224], [21., 0.3282445857710645], [21.25, 0.3130177121849836], [21.5, 0.29851941779333724], [21.75, 0.2847141338593611], [22., 0.27156802423996457], [22.25, 0.25904890511683737], [22.5, 0.24712616781323224], [22.75, 0.2357707046626864], [23., 0.22467766044715215], [23.25, 0.21439667640757146], [23.5, 0.20460240696535464], [23.75, 0.1952711624069232], [24., 0.18638042283796813], [24.25, 0.17790878108931615], [24.5, 0.16983588821916334], [24.75, 0.16214240152106124], [25., 0.1548099349464104], [25.25, 0.14782101185025168], [25.5, 0.14115901996973645], [25.75, 0.13480816854570693], [26., 0.1287534474992488], [26.25, 0.12298058857681657], [26.5, 0.11747602837952335], [26.75, 0.11222687319436933], [27., 0.10722086554751856], [27.25, 0.10244635240218289], [27.5, 0.09789225492619728], [27.75, 0.09354803975694718], [28., 0.08940369169391268], [28.25, 0.08544968775170435], [28.5, 0.0816769725090622], [28.75, 0.07807693469186454], [29., 0.07464138493072928], [29.25, 0.07136253463627903], [29.5, 0.06828474578389711], [29.75, 0.0652951039069992], [30., 0.06244108593452489], [30.25, 0.05971631486155604], [30.5, 0.057114723564986966], [30.75, 0.05463053934878684], [31., 0.05225826927063165], [31.25, 0.04999268621072045], [31.5, 0.0478288156454529], [31.75, 0.04542946211923704], [32., 0.04347407975735877], [32.25, 0.04160586036518565], [32.5, 0.03982076946736083], [32.75, 0.03811496652137014], [33., 0.036484795269918935], [33.25, 0.0349267745859296], [33.5, 0.033437589784726496], [33.75, 0.03201408437926741], [34., 0.030653252255510865], [34.25, 0.029352230246182755], [34.5, 0.028108291082319943], [34.75, 0.02691883670303139], [35., 0.025781391904926308], [35.25, 0.024693598313618125], [35.5, 0.02365320866062598], [35.75, 0.022658081349860082], [36., 0.02170617529870128], [36.25, 0.020795545039464906], [36.5, 0.01992433606778062], [36.75, 0.01909078042512321], [37., 0.018293192503396102], [37.25, 0.017529965060102258], [37.5, 0.01679956543323728], [37.75, 0.016100531945608277], [38., 0.015431470488821333], [38.25, 0.014791051277691937], [38.5, 0.01417800576631687], [38.75, 0.013591123717505274], [39., 0.013029250417701956], [39.25, 0.0124912840299476], [39.5, 0.011976173077811582], [39.75, 0.01148291405360264], [40., 0.011010549144513208]]"
"IH min","[[0., 0.], [0.25, 0.07484245774851775], [0.5, 0.2946123337332107], [0.75, 0.6127088358349472], [1., 0.9780642301407573], [1.25, 1.3510879109917064], [1.5, 1.7043039753199176], [1.75, 2.02082752056951], [2., 2.2917725411412135], [2.25, 2.5139581035062912], [2.5, 2.6879898493384875], [2.75, 2.816815775883625], [3., 2.9046868123229985], [3.25, 2.9564497394994707], [3.5, 2.9760085531617078], [3.75, 2.970315184315741], [4., 2.942652369435765], [4.25, 2.89700814586394], [4.5, 2.836908838153637], [4.75, 2.765424656403356], [5., 2.6851958486778598], [5.25, 2.598469724457304], [5.5, 2.5071422133599888], [5.75, 2.4127999711497257], [6., 2.3167606564404464], [6.25, 2.2201100819156503], [6.5, 2.1237356486407206], [6.75, 2.0283559159267215], [7., 1.9345464253466378], [7.25, 1.8427620451108786], [7.5, 1.7533561715519534], [7.75, 1.6665971465299663], [8., 1.5826822425040326], [8.25, 1.5017495436640704], [8.5, 1.4238880202019704], [8.75, 1.3491460587417738], [9., 1.277538678279289], [9.25, 1.209053629458244], [9.5, 1.1436565464989215], [9.75, 1.0812952959064615], [10., 1.021903644197053], [10.25, 0.9654043480824042], [10.5, 0.9117117545458189], [10.75, 0.8607339846936608], [11., 0.8123747638425982], [11.25, 0.7665349506960208], [11.5, 0.7231138103934917], [11.75, 0.6820100694404847], [12., 0.6431227848314027], [12.25, 0.6063520548880519], [12.5, 0.5715995952979342], [12.75, 0.5387692004261551], [13., 0.5077671070870757], [13.25, 0.4785022755105044], [13.5, 0.45088660015078696], [13.75, 0.4248350612065992], [14., 0.4002658261957848], [14.25, 0.37314227907399217], [14.5, 0.3514968270794925], [14.75, 0.3347039437746937], [15., 0.315309251496819], [15.25, 0.29703658266124155], [15.5, 0.27982344452842317], [15.75, 0.26361039568422173], [16., 0.24834096010203927], [16.25, 0.23396153375783502], [16.5, 0.22042128579646353], [16.75, 0.2076720559420892], [17., 0.19566824958041204], [17.25, 0.1843667317108422], [17.5, 0.17372672076803028], [17.75, 0.16370968314034776], [18., 0.15427922906458555], [18.25, 0.14540101044831422], [18.5, 0.13704262106142065], [18.75, 0.12917349944402487], [19., 0.12176483479729734], [19.25, 0.11478947605489681], [19.5, 0.1082218442742999], [19.75, 0.10203784843786096], [20., 0.09621480471184103], [20.25, 0.0907313591768515], [20.5, 0.08556741401426433], [20.75, 0.08070405710935055], [21., 0.07612349501252762], [21.25, 0.07180898918451584], [21.5, 0.06774479543888474], [21.75, 0.0639161064859503], [22., 0.06036171480745808], [22.25, 0.056959843312162216], [22.5, 0.053754300710767734], [22.75, 0.05073350909574645], [23., 0.04788658216134267], [23.25, 0.04520328420081999], [23.5, 0.042673991411964034], [23.75, 0.03997013187687619], [24., 0.03774727733735037], [24.25, 0.035651038804029325], [24.5, 0.03367401595835573], [24.75, 0.031809251471533934], [25., 0.030050204087418507], [25.25, 0.02839072332897114], [25.5, 0.02682502573596474], [25.75, 0.025347672545876398], [26., 0.023953548734130158], [26.25, 0.02263784333399967], [26.5, 0.02139603096053725], [26.75, 0.020223854466843064], [27., 0.01911730866481192], [27.25, 0.01807262504618704], [27.5, 0.017086257443301767], [27.75, 0.01615486857229823], [28., 0.015275317404872705], [28.25, 0.014444647317712198], [28.5, 0.013660074971752584], [28.75, 0.012918979876211866], [29., 0.012218894595030946], [29.25, 0.01155749555589546], [29.5, 0.010932594424417505], [29.75, 0.010342130008331478], [30., 0.009784160658706888], [30.25, 0.009256857137209393], [30.5, 0.008758495920353335], [30.75, 0.008287452913490227], [31., 0.007842197548973497], [31.25, 0.007421287244534658], [31.5, 0.00702336219940582], [31.75, 0.006647140507132274], [32., 0.006291413565342015], [32.25, 0.0059550417639812414], [32.5, 0.0056369504346899905], [32.75, 0.005336126045085382], [33., 0.005051612622744526], [33.25, 0.004782508394640104], [33.5, 0.004527962628681659], [33.75, 0.00428717266485923], [34., 0.0040593811242759705], [34.25, 0.0038438732850963097], [34.5, 0.0036399746151292147], [34.75, 0.003447048451414691], [35., 0.003264493817789189], [35.25, 0.0030917433719740597], [35.5, 0.002928261474263388], [35.75, 0.002773542370385819], [36., 0.002627108481581151], [36.25, 0.00248850879536895], [36.5, 0.002357317350894971], [36.75, 0.0022331318131234403], [37., 0.002115572130501204], [37.25, 0.002004279271054714], [37.5, 0.0018989140321944197], [37.75, 0.0017991559197947072], [38., 0.001704702092392354], [38.25, 0.0016152663666038109], [38.5, 0.0015305782801025632], [38.75, 0.0014503822087234323], [39., 0.0013744365344720393], [39.25, 0.0013025128614155006], [39.5, 0.0012343952766158597], [39.75, 0.0011698796534414199], [40., 0.0011087729947538306]]"
